DOI,Year
10.1007/3-540-48005-6_1,2002
10.1007/3-540-48005-6_10,2002
10.1007/3-540-48005-6_11,2002
10.1007/3-540-48005-6_12,2002
10.1007/3-540-48005-6_13,2002
10.1007/3-540-48005-6_14,2002
10.1007/3-540-48005-6_15,2002
10.1007/3-540-48005-6_16,2002
10.1007/3-540-48005-6_17,2002
10.1007/3-540-48005-6_18,2002
10.1007/3-540-48005-6_19,2002
10.1007/3-540-48005-6_2,2002
10.1007/3-540-48005-6_20,2002
10.1007/3-540-48005-6_21,2002
10.1007/3-540-48005-6_22,2002
10.1007/3-540-48005-6_23,2002
10.1007/3-540-48005-6_24,2002
10.1007/3-540-48005-6_25,2002
10.1007/3-540-48005-6_26,2002
10.1007/3-540-48005-6_27,2002
10.1007/3-540-48005-6_28,2002
10.1007/3-540-48005-6_29,2002
10.1007/3-540-48005-6_3,2002
10.1007/3-540-48005-6_30,2002
10.1007/3-540-48005-6_31,2002
10.1007/3-540-48005-6_32,2002
10.1007/3-540-48005-6_33,2002
10.1007/3-540-48005-6_34,2002
10.1007/3-540-48005-6_35,2002
10.1007/3-540-48005-6_36,2002
10.1007/3-540-48005-6_37,2002
10.1007/3-540-48005-6_38,2002
10.1007/3-540-48005-6_39,2002
10.1007/3-540-48005-6_4,2002
10.1007/3-540-48005-6_40,2002
10.1007/3-540-48005-6_41,2002
10.1007/3-540-48005-6_42,2002
10.1007/3-540-48005-6_5,2002
10.1007/3-540-48005-6_6,2002
10.1007/3-540-48005-6_7,2002
10.1007/3-540-48005-6_8,2002
10.1007/3-540-48005-6_9,2002
10.1007/978-3-540-39718-2_1,2003
10.1007/978-3-540-39718-2_10,2003
10.1007/978-3-540-39718-2_11,2003
10.1007/978-3-540-39718-2_12,2003
10.1007/978-3-540-39718-2_13,2003
10.1007/978-3-540-39718-2_14,2003
10.1007/978-3-540-39718-2_15,2003
10.1007/978-3-540-39718-2_16,2003
10.1007/978-3-540-39718-2_17,2003
10.1007/978-3-540-39718-2_18,2003
10.1007/978-3-540-39718-2_19,2003
10.1007/978-3-540-39718-2_2,2003
10.1007/978-3-540-39718-2_20,2003
10.1007/978-3-540-39718-2_21,2003
10.1007/978-3-540-39718-2_22,2003
10.1007/978-3-540-39718-2_23,2003
10.1007/978-3-540-39718-2_24,2003
10.1007/978-3-540-39718-2_25,2003
10.1007/978-3-540-39718-2_26,2003
10.1007/978-3-540-39718-2_27,2003
10.1007/978-3-540-39718-2_28,2003
10.1007/978-3-540-39718-2_29,2003
10.1007/978-3-540-39718-2_3,2003
10.1007/978-3-540-39718-2_30,2003
10.1007/978-3-540-39718-2_31,2003
10.1007/978-3-540-39718-2_32,2003
10.1007/978-3-540-39718-2_33,2003
10.1007/978-3-540-39718-2_34,2003
10.1007/978-3-540-39718-2_35,2003
10.1007/978-3-540-39718-2_36,2003
10.1007/978-3-540-39718-2_37,2003
10.1007/978-3-540-39718-2_38,2003
10.1007/978-3-540-39718-2_39,2003
10.1007/978-3-540-39718-2_4,2003
10.1007/978-3-540-39718-2_40,2003
10.1007/978-3-540-39718-2_41,2003
10.1007/978-3-540-39718-2_42,2003
